step,loss,baseline_rank,ala_rank
0,16.5,32.85552215576172,78.06874084472656
20,7.03125,6.422473430633545,4.892890930175781
40,9.3125,12.335902214050293,8.722103118896484
60,4.15625,30.446979522705078,37.053184509277344
80,8.5625,5.805153846740723,3.626337766647339
100,7.4375,25.550268173217773,15.302786827087402
140,3.125,2.7874958515167236,2.2477967739105225
160,4.9375,3.5995867252349854,2.963440418243408
180,8.0625,15.489957809448242,7.124926567077637
200,6.40625,43.727500915527344,10.624361991882324
220,3.515625,34.191219329833984,21.37831687927246
240,7.875,18.053926467895508,15.597993850708008
300,2.53125,2.762159824371338,2.5390217304229736
320,3.578125,3.471869707107544,2.8822922706604004
340,6.59375,25.064069747924805,8.823484420776367
380,7.0625,3.48195743560791,2.611513137817383
420,3.328125,3.6530120372772217,3.260857343673706
440,6.34375,7.462228298187256,5.660062313079834
460,4.15625,30.7331485748291,11.057770729064941
480,6.4375,11.795680046081543,4.777153968811035
500,2.578125,27.058837890625,13.122864723205566
